name,city,state,url,website,buy_link,phone,email,type,notes,prices,source,source_url
Plains Cotton Cooperative Association (PCCA),Lubbock,TX,https://pcca.com/,https://pcca.com/,https://pcca.com/contact/,806-763-8011,,cooperative,"Largest farmer-owned cotton coop; West TX, OK, KS; buy cotton bales",Contact for quote; cotton priced daily,AMCOT,https://amcot.org/
Calcot,Bakersfield,CA,https://calcot.com/,https://calcot.com/,https://calcot.com/sales-contact/,661-327-5961,info@calcot.com,cooperative,"CA, AZ, NM cotton; Upland & Pima; ~400K bales/year",Contact for quote; cotton priced daily,AMCOT,https://amcot.org/
Staple Cotton Cooperative Association (Staplcotn),Greenwood,MS,https://www.staplcotn.com/,https://www.staplcotn.com/,https://www.staplcotn.com/contact/,662-453-6231,cotton.services@staplcotn.com,cooperative,"5,000+ SE growers; 11 states; Memphis/Eastern cotton; Mill Sales Program",Contact for quote; cotton priced daily,AMCOT,https://amcot.org/
Carolinas Cotton Growers Cooperative,Garner,NC,https://www.carolinascotton.com/,https://www.carolinascotton.com/,https://www.carolinascotton.com/contact-us,919-773-2120,ckramer@carolinascotton.com,cooperative,NC/SC growers; cotton sales & warehousing; marketing ckramer@carolinascotton.com,Contact for quote; cotton priced daily,AMCOT,https://amcot.org/
Texas Cotton Growers Cooperative Association,Taylor,TX,https://txagcouncil.org/texas-cotton-producers-inc/,https://txagcouncil.org/texas-cotton-producers-inc/,https://txagcouncil.org/texas-cotton-producers-inc/,512-365-5531,,cooperative,Texas cotton marketing,Contact for quote,AMCOT,https://amcot.org/
ACG Cotton Marketing LLC,Lubbock,TX,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; cotton jobber; Lubbock; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
ADM Cotton,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Allbright Cotton,Memphis,TN,https://www.allbrightcotton.com/,https://www.allbrightcotton.com/,https://www.allbrightcotton.com/,559-276-1664,,merchant,Supima & Acala; California & Southwest; Fresno office,Contact for quote,ACSA,https://acsa-cotton.org/our-members
America Tongzhou Cotton Trading Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Brighann Marketing Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Bunge,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; global commodities; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
C&D (USA) Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Cargill Cotton,Memphis,TN,https://www.cargill.com/agriculture/cotton,https://www.cargill.com/agriculture/cotton,https://www.cargill.com/agriculture/cotton/location-contact-us,901-454-7851,,merchant,"Global cotton; Memphis, Liverpool",Contact for quote,ACSA,https://acsa-cotton.org/our-members
COFCO Americas Resources Corp,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Colly Commodities Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Commonwealth Gin,Windsor,VA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; gin & merchant; Virginia cotton; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
DECA Global LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
ECOM USA LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
ED & F Man Cotton LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Farmcot,New York,NY,https://www.farmcotinc.com/,https://www.farmcotinc.com/,https://www.farmcotinc.com/contact,,,merchant,US cotton; sources from American farmers; contact form on website,Contact for quote,web,https://www.farmcotinc.com/
Goetz & Sons Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Hang Tung Resources (USA) Co Ltd,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Jess Smith & Sons Cotton Inc,Bakersfield,CA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; WCSA; California cotton; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Louis Dreyfus Company,Memphis,TN,https://www.ldc.com/us/en/who-we-are/business-lines/cotton/,https://www.ldc.com/,https://www.ldc.com/us/en/our-facilities/west-memphis-ar/contact-us-west-memphis-ar/,901-383-5000,datateam@ldc.com,merchant,ACSA merchant; global commodities; Cordova TN office,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Lyons Cotton Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
MemTex Cotton Marketing LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Olam Agri Americas Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Old Blue Cotton Company Inc,Bakersfield,CA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; WCSA; California cotton; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Omnicotton Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Terra Nova Commodities LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Toyo Cotton Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Toyoshima International America Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
UNIPET Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Walcot Trading Company LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
White Gold Cotton Marketing LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
W D Felder & Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Choice Cotton Company Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
East Cotton Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Globalexim LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Indigo Ag,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; ag tech; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
J G Boswell Company,Corcoran,CA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; WCSA; California grower/processor; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Jabbour Cotton Company LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Loeb and Company Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
McMeekin Cotton LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
New Hope AgriServices LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Nunn Cotton Company Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Plainsman Cotton Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Wildwood Cotton Technologies,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,Contact for quote,ACSA,https://acsa-cotton.org/our-members
Bridgeforth Cotton,Tanner,AL,https://www.bridgeforthcotton.net/,https://www.bridgeforthcotton.net/,https://www.bridgeforthcotton.net/,,,direct_sale,"Bridgeforth Farms; sheets, towels, apparel; Target, Victoria's Secret partner",See website,web,https://www.bridgeforthcotton.net/
Magnolia Loom,Sandersville,GA,https://www.magnolialoom.com/,https://www.magnolialoom.com/,https://www.magnolialoom.com/,,,direct_sale,T-shirts; contracts GA growers $1/lb; QR traces to farm; 100% USA; shop online,See website,web,https://www.magnolialoom.com/
HomeGrown Cotton,Memphis,TN,https://homegrowncotton.us/,https://homegrowncotton.us/,https://homegrowncotton.us/contact-us,,NAsales@himatsingka.com,direct_sale,"50 family farms; sheets, towels, denim; SigNature T® verification",See website,web,https://homegrowncotton.us/
Harvest & Mill,Los Angeles,CA,https://harvestandmill.com/,https://harvestandmill.com/,https://harvestandmill.com/,,hello@harvestandmill.com,direct_sale,Organic cotton; grown & sewn USA; farm traceability,See website,web,https://harvestandmill.com/
grown&sewn,New York,NY,https://www.grownandsewn.com/,https://www.grownandsewn.com/,https://www.grownandsewn.com/,917-686-2964,info@grownandsewn.com,direct_sale,Made in USA cotton; traceable supply chain,See website,web,https://www.grownandsewn.com/
Imogene + Willie (The Cotton Project),Nashville,TN,https://www.imogeneandwillie.com/,https://www.imogeneandwillie.com/,https://imogeneandwillie.com/pages/contact,615-292-5005,,direct_sale,Traceable t-shirt; Larkin Martin AL + Hill Spinning NC; ~400 mi supply chain,See website,web,https://www.imogeneandwillie.com/
Shuford Yarns LLC,Hickory,NC,https://www.shufordyarns.com/,https://www.shufordyarns.com/,https://www.shufordyarns.com/contact-us/,828-324-4265,info@shufordyarns.com,mill,Cotton & synthetic yarns; EFS licensee,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Parkdale Mills,Gastonia,NC,https://www.parkdalemills.com/,https://www.parkdalemills.com/,https://www.parkdalemills.com/contact/,800-331-1843,sales@parkdalemills.com,mill,World's leading spun yarn manufacturer; EFS licensee,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Buhler Quality Yarns Corp,Jefferson,GA,https://www.buhleryarns.com/,https://www.buhleryarns.com/,https://www.buhleryarns.com/,706-367-9834,,mill,Supima cotton combed ring spun; EFS licensee,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Gildan,Sanford,NC,https://www.gildancorp.com/,https://www.gildancorp.com/,https://gildancorp.com/en/other/contact/,877-445-3265,,mill,Apparel; EFS licensee; USA Printwear sales,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Cone Denim LLC,Greensboro,NC,https://conedenim.com/,https://conedenim.com/,https://conedenim.com/contact/,336-379-6165,,mill,Largest denim producer; EFS licensee,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Inman Mills,Inman,SC,https://www.inmanmills.com/,https://www.inmanmills.com/,https://www.inmanmills.com/contact/,864-472-2121,,mill,Cotton fabrics; EFS licensee,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Milliken & Company,Spartanburg,SC,https://www.milliken.com/,https://www.milliken.com/,https://www.milliken.com/en-us/textiles/contact-us,864-503-2020,,mill,Textiles; EFS licensee,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Hill Spinning,Thomasville,NC,https://hillspinning.com/,https://hillspinning.com/,https://hillspinning.com/,336-472-7908,,mill,Combed & carded ring-spun; organic cotton; AMS EAATM participant,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Patrick Yarn Mills,Kings Mountain,NC,https://patrickyarns.com/,https://patrickyarns.com/,https://patrickyarns.com/,704-739-4119,,mill,"Cotton, synthetic, specialty yarns; closing Dec 2025 (Coats Group)",Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Cap Yarns,Clover,SC,https://www.capyarns.com/,https://www.capyarns.com/,https://www.capyarns.com/,803-222-8856,,mill,"Novelty heather, cationic cotton; AMS EAATM participant",Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Frontier Yarns,Sanford,NC,https://www.frontieryarns.com/,https://www.frontieryarns.com/,https://www.gildancorp.com/en/other/contact/,919-776-9940,,mill,Open-end and air-jet spun; Gildan subsidiary; AMS EAATM participant,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
Keer America,Indian Land,SC,https://keeramerica.com/,https://keeramerica.com/,https://keeramerica.com/,803-835-1110,info@keeramerica.com,mill,Open-end spun; AMS EAATM participant,Contact for quote,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/
SpunLab,Gastonia,NC,https://spunlab.com/,https://spunlab.com/,https://spunlab.com/,800-374-6754,,us_supplier,Parkdale division; CottonWorks spinner,Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Cotswold Industries / Central Textiles,Central,SC,https://ctextiles.com/,https://ctextiles.com/,https://ctextiles.com/,864-639-2491,inquiry@ctextiles.com,us_supplier,Spinner/weaver; CottonWorks; Cotswold NY 212-689-3432,Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
