name,city,state,type,source
"Cotton Growers Co-op, Inc",New Market,AL,cooperative,FSA Master Cotton Ginners List / cottongins.org
Cotton Producer's Co-op,Tuscumbia,AL,cooperative,FSA Master Cotton Ginners List / cottongins.org
"Farmers Home Gin, Inc",Leighton,AL,gin,FSA Master Cotton Ginners List / cottongins.org
"Glenbar Gin, Inc",Pima,AZ,gin,FSA Master Cotton Ginners List / cottongins.org
Safford Valley Cotton Growers Co-op,Safford,AZ,cooperative,FSA Master Cotton Ginners List / cottongins.org
"Cotton Growers, Inc",Dell,AR,cooperative,FSA Master Cotton Ginners List / cottongins.org
"Delta Cotton Cooperative, Inc",Maraduke,AR,cooperative,FSA Master Cotton Ginners List / cottongins.org
Mcgehee Growers Gin,McGehee,AR,cooperative,FSA Master Cotton Ginners List / cottongins.org
"McGehee Producer's Gin, Inc",McGehee,AR,gin,FSA Master Cotton Ginners List / cottongins.org
"Producers Gin Co. of Blytheville, Inc",Blytheville,AR,gin,FSA Master Cotton Ginners List / cottongins.org
Farmers Co-op Gin,Buttonwillow,CA,cooperative,FSA Master Cotton Ginners List / cottongins.org
Burkhead Gin Co,Jay,FL,gin,FSA Master Cotton Ginners List / cottongins.org
Golden Gin & Warehouse,Jay,FL,gin,FSA Master Cotton Ginners List / cottongins.org
West Florida Gin & Warehouse,Walnut Hill,FL,gin,FSA Master Cotton Ginners List / cottongins.org
Calhoun County Cotton Growers,Morgan,GA,cooperative,FSA Master Cotton Ginners List / cottongins.org
Farmers Cotton Exchange,Americus,GA,gin,FSA Master Cotton Ginners List / cottongins.org
Sumter County Producers Gin,Americus,GA,gin,FSA Master Cotton Ginners List / cottongins.org
"The Cotton Gin, Inc",Lenox,GA,gin,FSA Master Cotton Ginners List / cottongins.org
"Associate Producers Coop, Inc",Winnsboro,LA,cooperative,FSA Master Cotton Ginners List / cottongins.org
"Cotton Growers Gin Co., Inc",Lecompte,LA,cooperative,FSA Master Cotton Ginners List / cottongins.org
Jones Producers Gin,Jones,LA,gin,FSA Master Cotton Ginners List / cottongins.org
"Rayville Producers, Inc",Rayville,LA,gin,FSA Master Cotton Ginners List / cottongins.org
Columbus Gin Association,Shaw,MS,gin,FSA Master Cotton Ginners List / cottongins.org
Farmers Gin of Ashland,Lamar,MS,gin,FSA Master Cotton Ginners List / cottongins.org
"Cardwell Cooperative, Inc",Cardwell,MO,cooperative,FSA Master Cotton Ginners List / cottongins.org
"Portageville Farmers Gin, Inc",Portageville,MO,gin,FSA Master Cotton Ginners List / cottongins.org
Artesia Alfalfa Growers Assn. Mill GIN,Artesia,NM,cooperative,FSA Master Cotton Ginners List / cottongins.org
Farmers CO-OP Assn. GIN #1,Hagerman,NM,cooperative,FSA Master Cotton Ginners List / cottongins.org
Loving GIN,Loving,NM,gin,FSA Master Cotton Ginners List / cottongins.org
Mesa Farmers CO-OP,Mesquite,NM,cooperative,FSA Master Cotton Ginners List / cottongins.org
Albermarle Cotton Growers Co-op,Edenton,NC,cooperative,FSA Master Cotton Ginners List / cottongins.org
Growers Gin Inc,Ayden,NC,cooperative,FSA Master Cotton Ginners List / cottongins.org
Producers Gin Co,Murfreesboro,NC,gin,FSA Master Cotton Ginners List / cottongins.org
Silver Lake Growers Gin,Elm City,NC,cooperative,FSA Master Cotton Ginners List / cottongins.org
"Motley Gin, Inc",Hollis,OK,gin,FSA Master Cotton Ginners List / cottongins.org
"Peoples Gin, Inc",Hollis,OK,gin,FSA Master Cotton Ginners List / cottongins.org
Progressive Ag. Services,Elk City,OK,gin,FSA Master Cotton Ginners List / cottongins.org
"Peoples Gin Comp., Inc",Clio,SC,gin,FSA Master Cotton Ginners List / cottongins.org
Southern States Cotton Gin,Bishopville,SC,gin,FSA Master Cotton Ginners List / cottongins.org
Tri-County Gin,Salters,SC,gin,FSA Master Cotton Ginners List / cottongins.org
"Cairo Farmers Gin, LLC",Alamo,TN,gin,FSA Master Cotton Ginners List / cottongins.org
Crockett Gin Co. LLC,Maury City,TN,gin,FSA Master Cotton Ginners List / cottongins.org
Farmers Friendship Gin,Friendship,TN,gin,FSA Master Cotton Ginners List / cottongins.org
"Farmers Gin of Humboldt, Inc",Humboldt,TN,gin,FSA Master Cotton Ginners List / cottongins.org
Union Gin Co. Inc,Brownsville,TN,gin,FSA Master Cotton Ginners List / cottongins.org
Adobe Walls Gin,Spearman,TX,gin,FSA Master Cotton Ginners List / cottongins.org
Associated Cotton Growers,Saragosa,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Lubbock Cotton Growers,Lubbock,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Parmer County Cotton Growers,Farwell,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Springlake-Earth Cotton Growers,Springlake,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
United Cotton Growers Co-Op,Levelland,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Valley Growers Gin and Supply,Weslaco,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Hargill Growers Gin,Monte Alto,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Harmony Cotton Growers,Meadow,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Quarterway Cotton Growers,Plainview,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Southwest Cotton Growers,Wellman,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Texas Producers Co-op,Sudan,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Texas Star Co-op,Slaton,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
WesTex Co-op Gin,Slaton,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Flower Grove Co-op Gin,Ackerly,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Knott Farmers Co-op,Midland,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Midkiff Farmers Co-op Gin,Midkiff,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Tarzan Co-op Gin,Plains,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
TriCounty Producers Co-Op,Loop,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Garlyn Co-op Gin,Post,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
New Home Co-op,Meadow,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Owens Co-op Gin,Ralls,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Ropes Farmers Co-op Gin,Ropesville,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Wells Farmers Co-op,O'Donnell,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Associated Cotton Growers,Lubbock,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Citizens-Shallowater Co-op Gin,Shallowater,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Cotton Center Co-op Gin,Hale Center,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Spade Co-Op Gin,Littlefield,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Maple Co-op Gin,Maple,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Meadow Farmers Co-Op Gin,Meadow,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Friona Farmers Co-Op Gin,Friona,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Hereford Farmers Gin,Hereford,TX,gin,FSA Master Cotton Ginners List / cottongins.org
Petersburg Co-op Gin,Petersburg,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
TXCOT Co-op Gin,Lorenzo,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Floydada Co-op Gin,Floydada,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Idalou Co-op Gin,Idalou,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Fairchild Farmers Gin Co-op,Richmond,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Farmers Co-op Gin - East Bernard,East Bernard,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Winter Garden Co-op,Batesville,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Progreso Co-op Gin,Progreso,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
True Co-op Gin Co,Bishop,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Valley Gin Co,Tornillo,TX,gin,FSA Master Cotton Ginners List / cottongins.org
Vanderbilt Farmers Co-op,Edna,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
United Ag Co-op,El Campo,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org
Commonwealth Gin,Windsor,VA,gin,FSA Master Cotton Ginners List / cottongins.org
Commonwealth South Hampton Gin,Windsor,VA,gin,FSA Master Cotton Ginners List / cottongins.org
"Hawkins Gin, Inc",Emporia,VA,gin,FSA Master Cotton Ginners List / cottongins.org
Mid-Atlantic Gin,Emporia,VA,gin,FSA Master Cotton Ginners List / cottongins.org
"Suffolk Cotton Gin, Inc",Suffolk,VA,gin,FSA Master Cotton Ginners List / cottongins.org
