name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
Stitch K,Los Angeles,CA,https://www.stitchk.com/,https://www.stitchk.com/,https://www.stitchk.com/,323-325-7568,,cut_and_sew,"Knits, Apparel; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
First Avenue Manufacturing,Thomson,GA,https://www.usa-linens.com/,https://www.usa-linens.com/,https://www.usa-linens.com/,678-392-1432,,cut_and_sew,"Home, Hospital; bed linens, custom sizes; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Topps Safety Apparel Inc,Rochester,IN,https://www.toppssafetyapparel.com/,https://www.toppssafetyapparel.com/,https://www.toppssafetyapparel.com/,574-223-4311,,cut_and_sew,"Wovens, Denim, Apparel, Uniforms; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
JOMEL Seams Reasonable,Hillside,NJ,https://jomel.net/,https://jomel.net/,https://jomel.net/,973-282-0300,,cut_and_sew,"Apparel, Home, PPE, Uniforms, Military, Hospital; KY & NJ facilities; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Fire-Dex,Medina,OH,https://www.firedex.com/,https://www.firedex.com/,https://www.firedex.com/,330-723-0000,,cut_and_sew,"Wovens, Denim, CMT, Apparel, Uniforms; fire/rescue gear; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Excel Manufacturing,El Paso,TX,https://www.excelmfg.net/,https://www.excelmfg.net/,https://www.excelmfg.net/,915-544-0126,,cut_and_sew,"Wovens, Denim, Apparel, Uniforms; dyehouse, washhouse; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Sarah Lynn Sportswear Inc,Allentown,PA,https://www.slsportswear.com/,https://www.slsportswear.com/,https://www.slsportswear.com/,610-770-1702,,cut_and_sew,"Knits, CMT, Apparel, Uniforms; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Monalisa Manufacturing,Allentown,PA,https://www.monalisamfg.com/,https://www.monalisamfg.com/,https://www.monalisamfg.com/,610-770-0806,,cut_and_sew,"Knits, Wovens, Apparel; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Lebanon Apparel Corporation (LA CORP),Lebanon,VA,https://www.lacorpusa.com/,https://www.lacorpusa.com/,https://www.lacorpusa.com/,276-889-3656,,cut_and_sew,"Knits, Wovens, Denim, Apparel, Home, Uniforms; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Topwin Corporation (Global Point GPI),Torrance,CA,https://topwin.com/,https://topwin.com/,https://topwin.com/,310-325-2255,,cut_and_sew,"Knits, Wovens, CMT; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
American Giant,San Francisco,CA,https://www.american-giant.com/,https://www.american-giant.com/,https://www.american-giant.com/collections/cotton,415-529-2429,service@american-giant.com,cut_and_sew,"USA cotton hoodies, tees, activewear; cotton grown near NC facility; DTC brand",web,https://www.american-giant.com/pages/usa-cotton,See website
US Blanks,Gardena,CA,https://usblanks.net/,https://usblanks.net/,https://usblanks.net/pages/wholesale-application,310-225-6774,info@usblanks.com,cut_and_sew,100% USA-made; fabric at partner mill + in-house cut/sew; cotton & blends; wholesale; FL 321-253-3626,web,https://usblanks.net/,Wholesale; apply for account
Cut and Sew Co,Santa Ana,CA,https://cutandsewco.com/,https://cutandsewco.com/,https://cutandsewco.com/our-services/,714-981-7244,info@cutandsewco.com,cut_and_sew,"Design, fabric sourcing, cut/sew, QC; startups to multinationals; can source USA cotton",web,https://cutandsewco.com/,Contact for quote
Seam Apparel,Charlotte,NC,https://seamapparel.com/,https://seamapparel.com/,https://seamapparel.com/contact-us/,323-925-2859,sales@seamapparel.com,cut_and_sew,"Cut & sew; small-batch to scale; pattern, sample, production; Charlotte & LA",web,https://seamapparel.com/,Contact for quote
Apparel USA Inc,Fairmont,NC,https://apparelusa.co/,https://apparelusa.co/,https://apparelusa.co/,,,cut_and_sew,"Men's dress/sport shirts; cotton oxford, twill, poplin, flannel; pattern, embroidery, wash; 3-wk turnaround",web,https://apparelusa.co/,Contact for quote
Spiritex,Asheville,NC,https://wholesale.spiritex.net/,https://wholesale.spiritex.net/,https://wholesale.spiritex.net/,,sales@spiritex.net,cut_and_sew,"Organic cotton wholesale apparel; TX-grown, Carolinas spun/knit/finished; men's, women's, kids; printing; low MOQ",web,https://wholesale.spiritex.net/,Wholesale; see website
California Textile Group,Los Angeles,CA,https://californiatextilegroup.com/,https://californiatextilegroup.com/,https://californiatextilegroup.com/pages/contact-us,213-765-0555,aimee@californiagroupinc.com,cut_and_sew,"Woman-owned; 30+ yrs; circular knits, cut-and-sew; fabric to finished; gov/military compliance",web,https://californiatextilegroup.com/,Contact for quote
Goodwear USA,Essex,MA,https://www.goodwear.com/,https://www.goodwear.com/,https://www.goodwear.com/pages/wholesale-inquiries,800-338-8895,sales@goodwear.com,cut_and_sew,"38+ yrs; 100% USA cotton field-to-garment; third-party verified; private label, full package",web,https://www.goodwear.com/,Wholesale; resale ID required
All USA Clothing,Keego Harbor,MI,https://allusaclothing.com/,https://allusaclothing.com/,https://allusaclothing.com/wholesale-account.html,877-549-8721,info@allusaclothing.com,cut_and_sew,"Wholesale USA-made brands (American Apparel, Carhartt); customization, private label",web,https://allusaclothing.com/,Wholesale; apply for account
Prime Blanks,California,CA,https://primeblanks.com/,https://primeblanks.com/,https://primeblanks.com/get-quote,,usamade@primeblanks.com,cut_and_sew,"USA-made custom & bulk blank t-shirts; cotton, hemp, recycled; CA facility; fast turnaround",web,https://primeblanks.com/,Contact for quote
Volunteer Knit Apparel Inc,New Tazewell,TN,https://www.volunteer-knitwear.com/,https://www.volunteer-knitwear.com/,https://www.volunteer-knitwear.com/,423-626-7886,nora@volknit.com,cut_and_sew,"Family-owned since 1986; knit, bleach, cut, sew, pack; retail, private label, US Military",CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
JOMEL Seams Reasonable (Burkesville),Burkesville,KY,https://jomel.net/,https://jomel.net/,https://jomel.net/,270-864-3898,,cut_and_sew,"Apparel, Home, PPE, Uniforms, Military; Cotton Inc cut & sew",Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Rally Apparel Co-Op,Sandersville,GA,https://www.rallyapparelco-op.com/,https://www.rallyapparelco-op.com/,https://www.rallyapparelco-op.com/contact,478-553-1919,info@rallyapparelco-op.com,cut_and_sew,"30+ yrs; 100% Made in America; athletic wear, USA cotton; cut/sew, garment dye, sublimation",web,https://www.rallyapparelco-op.com/,Contact for quote
Lydia Design Studio,Atlanta,GA,https://www.lydiadesignstudio.com/,https://www.lydiadesignstudio.com/,https://www.lydiadesignstudio.com/clothing-manufacturer,470-514-5696,,cut_and_sew,"Made in USA; cut-and-sew MOQ 45; design, sampling, production; tees, leggings, jeans, hoodies",web,https://www.lydiadesignstudio.com/,Contact for quote
FAM USA,Snellville,GA,https://famusa.co/,https://famusa.co/,https://famusa.co/services/cut-sew/,770-982-9913,sales@famusa.co,cut_and_sew,"Turn-key cut & sew; dye sublimation; athletic, corporate; no minimums; 4-wk lead",web,https://famusa.co/,Contact for quote
Muscogee Mills,Columbus,GA,https://www.muscogeemills.com/,https://www.muscogeemills.com/,https://www.muscogeemills.com/contact-us,706-294-1738,customerservice@muscogeemills.com,cut_and_sew,"Since 1968; cut & sew, sourcing, warehousing; domestic textile",web,https://www.muscogeemills.com/,Contact for quote
The Lab Factory ATL,Atlanta,GA,https://thelabfactoryatl.com/,https://thelabfactoryatl.com/,https://thelabfactoryatl.com/pages/cut-sew,470-783-2258,info@thelabfactoryatl.com,cut_and_sew,"Cut & sew, DTF, embroidery, sublimation; concept to creation 90 days",web,https://thelabfactoryatl.com/,Contact for quote
Boxercraft,Mableton,GA,https://boxercraft.com/,https://boxercraft.com/,https://wholesale.boxercraft.com/,888-717-1985,customersuccess@boxercraft.com,cut_and_sew,NCTO member; wholesale apparel; custom blanks,NCTO,https://ncto.org/,Contact for quote
