name,city,state,type,email,phone,website,buy_link,prices,source
Parker Brothers Farm,Sikeston,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Fann Farms,Salemburg,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Connelly Farms,Ulmer,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Michael Brown & Sons,Lake Providence,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Isbell Farms,Muscle Shoals,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Anderson Farms,Tarboro,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
VIP Farms,Thatcher,AZ,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Pearson Farms,Sikeston,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Smith & Sons,Bishop,TX,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Gertson Farms Partnership,Lissie,TX,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Frische Farms,Dumas,TX,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hlavinka Cattle Co JV,East Bernard,TX,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
McNair Farms,Driscoll,TX,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Tyler Farms,Helena,AR,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Kelley Enterprises,Burlison,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
P G C Farms,Brinson,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Balmoral Farming Partnership,Newellton,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Carpenter Produce,Grady,AR,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Gila River Farms,Sacaton,AZ,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Missouri Delta Farms,Sikeston,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Deline Farms Partnership,Charleston,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Seward & Son Planting Company,Louise,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
New Hope Farms,Schlater,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Bruton Farms Partnership,Hollandale,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Due West,Glendora,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Perthshire Farms,Gunnison,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
St Rest Planting Co,Indianola,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Dixie Farms,Vance,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Holly Ridge Planting Co,Indianola,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Maxwell Farms,Benoit,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Pitts Farms,Indianola,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Morgan Farms,Cleveland,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Steele Farms,Hollandale,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Phillips Farms,Holly Bluff,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Gypsy Farms,Greenville,MS,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Bridgeforth Farms,Tanner,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Spruell Farms,Mount Hope,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Showtime Farms,Georgia,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Scott Farms G P,Brinson,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
John M Mobley & Sons,Moultrie,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Heard Family Farm,Brinson,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
T & T Farms,Leesburg,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Simmons Farms,Doerun,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Luther Griffin Farm,Bainbridge,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Family Farm Partners,Camilla,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Minor Brothers Farm Partnership,Andersonville,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Minor Brothers Farms Gp,Andersonville,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
SOS Farms,Ashburn,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Killarney Farm Partnership,Jakin,GA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
R A Pickens And Son Company,Pickens,AR,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Benwood Farms,Earle,AR,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Brantley Farming Co,England,AR,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
H E Jordan & Family Farm Partnershp,Gates,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Mid-south Family Farms,Ripley,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Mcarmour Enterprises Ptr,Halls,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Couch Farms,Jackson,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Sneed Brothers,Millington,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Tibbs Farms Partnership,Brownsville,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Lindamood Planting Company,Tiptonville,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hendrix & Sons Farm Partnership,Brownsville,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Fullen Ag Company,Ripley,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Moore Farms,Somerville,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Yarbro Farms,Dukedom,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Stewart Farms,Atoka,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Taylor Bros,Bells,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
R & R Farms,Mc Kenzie,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Tyson Farms Partnership,Denmark,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Manning Farms,Halls,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Pearson Farms,Jackson,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Kelley & Kelley Farms Partnership,Burlison,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
C E Luckey & Sons,Humboldt,TN,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Beanland Farms,Hollis,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Bates Bros & Sons,Altus,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Radcliff Farms,Forgan,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
