name,city,state,url,website,buy_link,phone,email,type,certification,notes,products,production,source,source_url,prices
Wood Prairie Family Farm,Bridgewater,ME,https://www.woodprairie.com/,https://www.woodprairie.com/,https://www.woodprairie.com/,207-429-9765,orders@woodprairie.com,potato_farm,certified_organic,"49 years; certified organic seed potatoes + fresh; ships all 50 states; Yukon Gold, Dark Red Norland, 40+ varieties; 49 Kinney Rd Bridgewater ME; M-F 8-5; flexible shipping dates",Seed Potatoes; Yukon Gold; Red Norland; Organic; Certified Organic; Fresh,49 years; Bridgewater ME,web,https://www.woodprairie.com/,Seed potatoes from $8.49; ships year-round
Grand Teton Organics,Idaho Falls,ID,https://www.grandtetonorganics.com/,https://www.grandtetonorganics.com/,https://www.grandtetonorganics.com/Catalog/home.aspx,208-313-7303,joolhgna@msn.com,potato_farm,certified_organic,"77 years; 50+ varieties; CCOF + Idaho Blue Tag; 5000+ acres; bulk 50lb bags; free ship; bulk discount 500+ lb; Parkinson family; Russet Burbank, Yukon Gold, fingerlings, heirloom",Yukon Gold; Russet; Fingerling; Ccof; Heirloom; Blue Tag,77 years; 5000+ acres; Idaho Falls ID,web,https://www.grandtetonorganics.com/,50+ varieties; bulk 50lb+; free ship; discount 500+ lb
Sprout Mountain Farms,Kingsport,TN,https://www.sproutmountainfarms.com/,https://www.sproutmountainfarms.com/,https://www.sproutmountainfarms.com/store,252-292-8271,growersupport@sproutmountainfarms.com,potato_farm,certified_organic,Certified organic seed potatoes + sweet potato slips; East TN; ships from NC; variety mixes; filter by season; PO Box 5235 Kingsport TN; M-F 9-5,Seed Potatoes; Organic; Certified Organic,East TN; ships from NC,web,https://www.sproutmountainfarms.com/,Seed potatoes $29-$125; variety mixes
Ronnigers Organics,Moyie Springs,ID,https://www.ronnigersorganics.com/,https://www.ronnigersorganics.com/,https://www.ronnigersorganics.com/,208-627-8181,ronnigersorganics@gmail.com,potato_farm,certified_organic,David Ronniger founded first organic seed potato catalog; 200+ varieties; seed potatoes + root crops; 7312 Perkins Lake Rd Moyie Springs ID; farm store daylight hours; Sandpoint Farmers Market Sa Aug-Oct; Real Organic Project certified,Seed Potatoes; Organic; Farmers Market,"100,000+ lbs produce/yr; root cellar storage",web,https://www.ronnigersorganics.com/,Seed potatoes; farm store + farmers market
Jones Farms Organics,Hooper,CO,http://www.jonesfarmsorganics.com/,http://www.jonesfarmsorganics.com/,http://www.jonesfarmsorganics.com/,719-378-2299,organics@jonesfarmsorganics.com,potato_farm,certified_organic,4th generation since 1925; organic since 2005; 600 acres San Luis Valley; nutrient-dense; organic potatoes; 11221 E County Rd 110 N Hooper CO; sustainable soil health,Organic,600 acres; 4th generation; San Luis Valley CO,web,http://www.jonesfarmsorganics.com/,Contact for direct sales
Fresh by 4Roots,Orlando,FL,https://freshby4roots.com/,https://freshby4roots.com/,https://freshby4roots.com/products/organic-red-potatoes,,,potato_farm,certified_organic,4Roots Farm Campus; 57 FL producers; USDA organic red potatoes $2.99/lb; tri-color $5.25/lb; 1918 W Princeton St Orlando pickup Tu-F 10-3; 2nd Sat farmers market; 15% off first order,Organic; Usda Organic; Farmers Market,4Roots Farm Campus; Orlando FL,web,https://freshby4roots.com/,Organic red $2.99/lb; tri-color $5.25/lb; subscribe 15% off
Enka:ri Farm,Marion,NY,https://enkarifarm.com/,https://enkarifarm.com/,https://enkarifarm.com/membership/,315-333-2594,jennie.brant@gmail.com,potato_farm,certified_organic,Certified organic CSA; 30 acres; no-till; Walworth-Marion Rd Marion NY; seasonal produce including potatoes; $100 membership + 5 free bags; Th 3-6pm pickup; SNAP/EBT accepted,Organic; Certified Organic; Csa,30 acres; no-till; Marion NY,web,https://enkarifarm.com/,CSA $100 membership; 5 free bags; SNAP no fee
Dynamite Harvest,Greenwood,WI,https://dynamiteharvest.com/,https://dynamiteharvest.com/,https://dynamiteharvest.com/product/bulk-potatoes-naturally-grown-freshly-dug-50-pounds,715-727-3386,tntharvest@gmail.com,potato_farm,organic,"CHEAPEST: 50lb bulk $50 ($1/lb!!!); naturally grown, organically-approved methods; Austrian Crescent fingerlings, German Butterball, Dark Red Norland, Kennebec, Adirondack Red/Blue; free delivery 10mi Greenwood WI; Tu/F 9am-noon pickup",Red Norland; Fingerling; Organic,Family farm; Greenwood WI,web,https://dynamiteharvest.com/,50lb $50 ($1/lb); free delivery 10mi
Bibb Forest Farm,Louisa,VA,https://bibbforestfarm.com/,https://bibbforestfarm.com/,https://bibbforestfarm.com/product/bulk-potatoes,804-240-5797,info@bibbforestfarm.com,potato_farm,certified_organic,CCOF certified organic; regenerative; bulk 4.5lb $12 ($2.67/lb); Red Gold 1.5lb $6.50; Mountain Rose 1.5lb $6.50; 3320 Bibb Store Rd Louisa VA; online store Th 8pm-Mon; Charlottesville/Richmond delivery; Charlottesville City Market,Organic; Certified Organic; Ccof,Regenerative organic; Louisa VA,web,https://bibbforestfarm.com/,Bulk 4.5lb $12 ($2.67/lb); 1.5lb bags $6.50
Willow Pond Farm,Sabattus,ME,https://www.willowpf.com/,https://willowpf.csaware.com/,https://willowpf.csaware.com/winter-2025-2026-C29431,207-375-6662,Willowpondfarm89@gmail.com,potato_farm,certified_organic,"First CSA in Maine 1989; MOFGA/USDA certified organic; winter CSA $100 half share, $160 full; storage crops potatoes onions carrots garlic cabbage squash; 395 Middle Rd Sabattus ME",Organic; Certified Organic; Csa; Storage,Est. 1989; first Maine CSA,web,https://www.willowpf.com/,Winter CSA half $100; full $160; potatoes in storage share
House in the Woods Farm,Adamstown,MD,https://houseinthewoods.com/,https://houseinthewoods.com/,https://houseinthewoods.csaware.com/store,301-461-6575,ilene@houseinthewoods.com,potato_farm,certified_organic,25 yrs certified organic CSA; 7mi S Frederick; potatoes sweet potatoes heirloom varieties; $38/wk full 24wk or $24/wk half; Phil & Ilene Freedman; U-Pick farm activities,Organic; Certified Organic; Csa; Heirloom,25 years; Adamstown MD,web,https://houseinthewoods.com/,CSA $38/wk full; $24/wk half; May-Oct
Soda Springs Solar Gardens,Soda Springs,ID,https://www.seed-potatoes.com/,https://www.seed-potatoes.com/,https://www.seed-potatoes.com/certified-potato-seed,,,potato_farm,certified_organic,Organic certification expected spring 2026; FY1 certified seed; fingerlings colored specialty; gravity drip; no pesticides/chemicals; regenerative no-till; Jester $12/lb; ships lower 48 USPS,Fingerling; Organic,Small ID farm; organic cert 2026,web,https://www.seed-potatoes.com/,Seed potatoes from $12/lb; ships lower 48
Viva Farms,Burlington,WA,https://vivafarms.org/,https://vivafarms.org/,https://vivafarms.org/contact/,360-969-7191,,potato_farm,certified_organic,Non-profit farm business incubator; certified organic; Skagit + King County; CSA wholesale farm-to-school; 15366 Ovenell Rd Burlington WA; independent farmers grow organic produce,Organic; Certified Organic; Csa; Wholesale,Farm incubator; Burlington WA,web,https://vivafarms.org/,Contact for CSA/wholesale
Ten Fold Farm,Bellingham,WA,https://www.tenfoldfarm.com/,https://www.tenfoldfarm.com/,https://www.tenfoldfarm.com/shop,360-220-7391,,potato_farm,organic,Certified Naturally Grown; 120+ heirloom varieties; GMO-free seeds; no chemicals; Whatcom County delivery/pickup; Fri 3-6pm farm pickup; subscription boxes,Heirloom,Family farm; Bellingham WA,web,https://www.tenfoldfarm.com/,Contact for produce boxes; CSA temp canceled
Wild Hare Organic Farm,Tacoma,WA,https://www.wildhareorganicfarm.com/,https://www.wildhareorganicfarm.com/,https://www.wildhareorganicfarm.com/what-is-a-csa,253-778-6257,info@wildhareorganicfarm.com,potato_farm,certified_organic,Year-round organic CSA; 4 seasons; large $35/wk small $25/wk; 10% full-year discount; 4520 River Rd E Tacoma; Tu/W/Sa pickup; 10% farm stand discount; Katie & Mark Green,Organic; Csa; Farm Stand,Family farm; Tacoma WA,web,https://www.wildhareorganicfarm.com/,CSA large $35/wk; small $25/wk; 10% full-year off
Farm on the River,Springfield,VT,https://www.farmontheriver.com/,https://www.farmontheriver.com/,https://www.farmontheriver.com/csa-2025,802-881-0234,hello@farmontheriver.com,potato_farm,certified_organic,30+ yrs USDA certified organic CSA; 8-11 veggies/week; potatoes mid-Oct gourmet European reds/yellows; $37.50/wk 22wk or $38.36 bi-weekly; 987 Connecticut River Rd Springfield VT; pickup VT or Walpole NH,Organic; Certified Organic; Csa,30+ years; Springfield VT,web,https://www.farmontheriver.com/,CSA $37.50/wk; $850 full season; potatoes from mid-Oct
Tolt River Farm,Carnation,WA,https://www.localharvest.org/tolt-river-farm-M10301,https://toltriverfarm.com/,https://www.localharvest.org/tolt-river-farm-M10301,425-333-6886,,potato_farm,certified_organic,Certified organic; potatoes arugula beets broccoli cabbage carrots garlic kale lettuce spinach; FarmGirl collective CSA $450 18wk Jun-Oct; pickup Wallingford Phinney Ridge Ballard farmers markets; 5405 Tolt River Rd NE Carnation WA,Organic; Certified Organic; Csa; Farmers Market,Small organic farm; Carnation WA,web,https://www.localharvest.org/tolt-river-farm-M10301,CSA $450 18 weeks; Jun-Oct
Flatwater Farms,Buchanan,MI,https://www.flatwaterfarms.com/,https://www.flatwaterfarms.com/,https://www.flatwaterfarms.com/csa-signup,,,potato_farm,certified_organic,USDA certified organic; 40+ varieties potatoes sweet potatoes carrots beets beans; CSA $400-$480; Green City Market Chicago Sat; farm stand Buchanan Tue 4-6 Sat 11-2; 15475 Walton Rd Buchanan MI; Chicago delivery,Organic; Certified Organic; Csa; Farm Stand,Certified organic; Buchanan MI,web,https://www.flatwaterfarms.com/,CSA $400-$480; market style
