name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
39 Color & Wash,Newark,NJ,https://garmentdyeing.com,https://garmentdyeing.com,https://garmentdyeing.com,(212) 967-1188,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
American Stitchco,Mountain Home,AR,https://stitchco.com,https://stitchco.com,https://stitchco.com,(870) 425-7777,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Excel Manufacturing,El Paso,TX,https://excelmfg.net,https://excelmfg.net,https://excelmfg.net,(915) 544-0126,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Fire-Dex,Medina,OH,https://firedex.com,https://firedex.com,https://firedex.com,(330) 723-0000,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Hemingway Sewing Solutions,Hemingway,SC,https://hemingwaysewing.com,https://hemingwaysewing.com,https://hemingwaysewing.com,(843) 558-2525,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
JOMEL Seams Reasonable,Burkesville,KY,https://jomel.net,https://jomel.net,https://jomel.net,(973) 282-0300,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
JOMEL Industries (Corporate),Hillside,NJ,https://jomel.net,https://jomel.net,https://jomel.net,(973) 282-0300,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Lebanon Apparel Corporation dba LA CORP,Lebanon,VA,https://lacorpusa.com,https://lacorpusa.com,https://lacorpusa.com,(276) 889-3656,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Monalisa Manufacturing,Allentown,PA,https://monalisamfg.com,https://monalisamfg.com,https://monalisamfg.com,(610) 770-0806,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Quick Fuse,Passaic,NJ,https://quickfuseandcut.com,https://quickfuseandcut.com,https://quickfuseandcut.com,(646) 678-4422,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
"Sarah Lynn Sportswear, Inc.",Allentown,PA,https://slsportswear.com,https://slsportswear.com,https://slsportswear.com,(610) 770-1702,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Seam to Seam,Los Angeles,CA,https://stitchk.com,https://stitchk.com,https://stitchk.com,(323) 325-7568,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Topps Safety Apparel Inc.,Rochester,IN,https://toppssafetyapparel.com,https://toppssafetyapparel.com,https://toppssafetyapparel.com,(574) 223-4311,,us_supplier,CottonWorks U.S. Supplier List,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
