name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
A-B Emblem,Weaverville,NC,https://textileconnect.com/directory/a-b-emblem/,https://textileconnect.com/directory/a-b-emblem/,https://textileconnect.com/directory/a-b-emblem/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"A. B. Carter, Inc.",Gastonia,NC,https://textileconnect.com/directory/a-b-carter-inc/,https://textileconnect.com/directory/a-b-carter-inc/,https://textileconnect.com/directory/a-b-carter-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"A.E. Nathan Co., Inc.",New York,NY,https://textileconnect.com/directory/a-e-nathan-co-inc/,https://textileconnect.com/directory/a-e-nathan-co-inc/,https://textileconnect.com/directory/a-e-nathan-co-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A. Hoffman Awning Co.,Baltimore,MD,https://textileconnect.com/directory/a-hoffman-awning-co/,https://textileconnect.com/directory/a-hoffman-awning-co/,https://textileconnect.com/directory/a-hoffman-awning-co/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A. Kuehnert & Company,Monroe,NY,https://textileconnect.com/directory/a-kuehnert-company/,https://textileconnect.com/directory/a-kuehnert-company/,https://textileconnect.com/directory/a-kuehnert-company/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A. Smith & Son Inc.,Burlington,NJ,https://textileconnect.com/directory/a-smith-son-inc/,https://textileconnect.com/directory/a-smith-son-inc/,https://textileconnect.com/directory/a-smith-son-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A/V Drapery & Designers,Chapin,SC,https://textileconnect.com/directory/a-v-drapery-designers/,https://textileconnect.com/directory/a-v-drapery-designers/,https://textileconnect.com/directory/a-v-drapery-designers/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A & A Awnings and Storm Shutters,Virginia Beach,VA,https://textileconnect.com/directory/a-a-awnings-and-storm-shutters/,https://textileconnect.com/directory/a-a-awnings-and-storm-shutters/,https://textileconnect.com/directory/a-a-awnings-and-storm-shutters/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A&A Enterprises,Greensboro,NC,https://textileconnect.com/directory/aa-enterprises/,https://textileconnect.com/directory/aa-enterprises/,https://textileconnect.com/directory/aa-enterprises/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A & J Canvas Inc.,Vanceboro,NC,https://textileconnect.com/directory/a-j-canvas-inc/,https://textileconnect.com/directory/a-j-canvas-inc/,https://textileconnect.com/directory/a-j-canvas-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"A & P Technology, Inc.",Cincinnati,OH,https://textileconnect.com/directory/a-p-technology-inc/,https://textileconnect.com/directory/a-p-technology-inc/,https://textileconnect.com/directory/a-p-technology-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A & S Tool & Die Inc,Kernersville,NC,https://textileconnect.com/directory/a-s-tool-die-inc/,https://textileconnect.com/directory/a-s-tool-die-inc/,https://textileconnect.com/directory/a-s-tool-die-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A+ Products Inc.,Marlboro,NJ,https://textileconnect.com/directory/a-products-inc/,https://textileconnect.com/directory/a-products-inc/,https://textileconnect.com/directory/a-products-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
