name,city,state,url,website,buy_link,phone,email,type,notes,products,production,source,source_url,prices
Morro Fleece Works,Main StreetMORRO BAY,CA,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,805-772-9665,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Valley Oak Wool Mill,,CA,http://www.valleyoakwoolmill.com,http://www.valleyoakwoolmill.com,http://www.valleyoakwoolmill.com,530-312-0494,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
The Fleece Factory of the Rockies,LaSalle,CO,http://www.thefleecefactoryoftherockies.com,http://www.thefleecefactoryoftherockies.com,http://www.thefleecefactoryoftherockies.com,970-284-7711,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Combing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Willow Creek Fiber Mill,Hudson,CO,http://www.willowcreekfibermill.co,http://www.willowcreekfibermill.co,http://www.willowcreekfibermill.co,970-586-3478,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Six Paca Farm & Mill,Stockhouse Rd.Bozrah,CT,http://www.sixpaca.com,http://www.sixpaca.com,http://www.sixpaca.com,860-204-0386,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Twist of Fate Spinnery,Yount StreetEast Hampton,CT,http://www.twistoffatefiber.com,http://www.twistoffatefiber.com,http://www.twistoffatefiber.com,860-759-9334,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Spirit Fiber Works,TURNER RDCleveland,GA,http://www.spiritfiberworks.com,http://www.spiritfiberworks.com,http://www.spiritfiberworks.com,706-809-8729,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Roving; Batting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Ohana Fiber Mill,a,HI,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,808-464-9316,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Felting; Dyeing; Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Illinois Wool & Fiber Mill,Caledonia Rd.Belvidere,IL,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,815-544-9582,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Red Hill Fiber Mill,N Red Hill RdTaswell,IN,http://www.redhillfiber.com,http://www.redhillfiber.com,http://www.redhillfiber.com,812-788-2438,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Batting; Dyeing; Combing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
