name,city,state,url,website,buy_link,phone,email,type,raising,notes,products,production,source,source_url,prices
Buffalo Valley Pastures,Quarryville,PA,https://bvpmarket.com/,https://bvpmarket.com/,https://bvpmarket.com/store/grass-fed-humane-veal,215-804-6551,milk@bvpmarket.com,veal_farm,pasture_raised,"100% grass-fed & finished veal; pasture-raised, never confined; no antibiotics, vaccines, hormones, GMOs; chops, cutlets, ground, cubes, liver, heart, loin; farm pickup + delivery PA/NJ/MD/VA/DC",No Antibiotics,Family farm; PA,web,https://bvpmarket.com/,"See website (login required); chops, ground, cutlets, bones"
Rossotti Ranch,Petaluma,CA,https://rossottiranch.com/,https://rossottiranch.com/,https://rossottiranch.com/,415-717-4033,julie@rossottiranch.com,veal_farm,pasture_raised,"CHEAP VEAL BONES $3/lb: 9th-generation family ranch; west Marin + Sonoma Counties; pasture-raised veal; veal bones 20lb $60 ($3/lb, reg $80/$4/lb); bone broth box also avail; calves on mother's milk + native grasses; 6-8 months; ships frozen Tuesdays; 800 Carmody Rd Petaluma CA; Marin farmers market Sun; wholesale avail",Veal Bones,9th generation; Marin/Sonoma CA,web,https://rossottiranch.com/,VEAL BONES 20lb $60 ($3/lb sale); brisket $100; ground $140; feast $220
Beam Family Farms,Delight,NC,https://www.beamfamilyfarms.com/,https://www.beamfamilyfarms.com/,https://www.beamfamilyfarms.com/veal,704-538-1419,luke@bffbeef.com,veal_farm,pasture_raised,"Free-range veal; unlimited access to mother's milk + pasture; no antibiotics or hormones; grain-free; conceived, calved, raised on-farm; brisket, ribs, chops, ground, sausage, whole/half veal; online via Barn2Door",No Antibiotics; Half Veal,Multi-generational family farm,web,https://www.beamfamilyfarms.com/,"Chops, ground, ribs, sausage, whole/half veal"
Possum Tail Farm,Terra Alta,WV,https://www.possumtailfarm.com/,https://www.possumtailfarm.com/,https://www.possumtailfarm.com/what-we-sell/organic-veal/,304-789-5556,possumtailfarm@gmail.com,veal_farm,pasture_raised,Rose veal calves raised humanely on grass alongside cattle herd; organic since 2012; 4th generation 148-acre farm; 100% grass-fed; on-farm sales by appointment; delivery to Morgantown WV + Oakland MD,Rose Veal; Organic,4th generation; 148 acres; organic since 2012,web,https://www.possumtailfarm.com/,On-farm by appointment; delivery WV/MD
The Old Road Farm,Washington,PA,https://theoldroadfarm.com/,https://theoldroadfarm.com/,https://theoldroadfarm.com/store/roseveal,724-250-8750,farmer@theoldroadfarm.com,veal_farm,pasture_raised,"Rose veal; pasture-raised, organic-fed; regenerative farming; online store; weekly Saturday pickup 11am + by appointment; multiple pickup locations + home delivery",Rose Veal; Organic,Regenerative family farm; PA,web,https://theoldroadfarm.com/,Rose veal cuts; see online store
Our Home Place Meat,New Castle,KY,https://ourhomeplacemeat.com/,https://ourhomeplacemeat.com/,https://ourhomeplacemeat.com/our-beef/,,,veal_farm,pasture_raised,"Rose veal from 100% pasture-raised yearling cattle; Henry County KY family farms; no antibiotics, steroids, hormones; no feedlots; ribeye, NY strip, ground, tenderloin, brisket, osso buco, liver; ships nationwide; 10% off sitewide",Rose Veal; No Antibiotics; Osso Buco,KY family farm network,web,https://ourhomeplacemeat.com/,Ground $45-$90; ribeye $60-$120; sampler $172-$195; free ship $250+
Springdale Farm and Creamery,Waldo,ME,https://springdale-farm-store.com/,https://springdale-farm-store.com/,https://farmdrop.us/farm/springdale-farm-and-creamery/,207-272-5492,,veal_farm,pasture_raised,"4th generation family farm; Jersey + Guernsey cattle; rose veal raised 5-7 months to 350-400 lbs; cutlets, loin chops, osso buco, bones, ground, sausage; micro-creamery; also on FarmDrop marketplace",Rose Veal; Osso Buco,4th generation; Waldo ME,web,https://farmdrop.us/farm/springdale-farm-and-creamery/,"Ground rose veal ~$12/lb; osso buco, chops, bones available"
Crosswinds Farm & Creamery,Rock Stream,NY,https://crosswindsfarmcreamery.com/,https://crosswindsfarmcreamery.com/,https://crosswindsfarmcreamery.com/store/product/veal-marrow-bone,607-327-0363,crosswindsfarmcreamery@gmail.com,veal_farm,pasture_raised,"100% grassfed veal marrow bones; calves raised alongside mothers, weaned 6-8 months; regenerative agriculture; whole bones with knuckle, vacuum-sealed frozen; farm store + scoop shop M-F 7-5, Sa-Su 9-5; online ordering; pickup + delivery NY/PA",Marrow Bones,Regenerative family farm; Finger Lakes NY,web,https://crosswindsfarmcreamery.com/,Veal marrow bones (login for pricing); grassfed dairy + meat
Plumb Rocky Farm,,NY,https://plumbrockyfarm.com/,https://plumbrockyfarm.com/,https://plumbrockyfarm.com/store/,,,veal_farm,pasture_raised,"Rose veal from Jersey cows; heritage breed; grass-fed, organic feed; calves raised on pasture with mothers; regenerative practices; short ribs, bones, ground, chops",Rose Veal; Organic; Heritage Breed,Small heritage farm; NY,web,https://plumbrockyfarm.com/,Rose veal cuts; see online store
Misty Brook Farm,Albion,ME,https://mistybrook.com/,https://mistybrook.com/,https://mistybrook.com/products/the-cows/,207-437-4719,mistybrookorganic@gmail.com,veal_farm,pasture_raised,Certified organic; 100% grass-fed rose veal; calves raised on mothers/nurse moms; rotationally grazed with sunshine access; self-service farm store open daily dawn-dusk; wholesale + distribution available; inquire about bones + fat,Rose Veal; Organic,Certified organic family farm; Albion ME,web,https://mistybrook.com/,Contact for organic rose veal + bones pricing
Slate Creek Farm,Remsen,NY,https://slatecreekfarmny.com/,https://slatecreekfarmny.com/,https://slatecreekfarmny.com/product/rose-veal,,,veal_farm,pasture_raised,"Rose veal; ribeye chops $26.50/lb, cutlets $22/lb, loin chops $26/lb, ground $12.50/lb, osso buco $14/lb, bones $4/lb, leg roast $14.95/lb, stew $12.95/lb; farm pickup M/W/F 3-6pm; Oneida County market delivery; home delivery Utica/Rome area; shipping on request",Rose Veal; Osso Buco,Small family farm; Remsen NY,web,https://slatecreekfarmny.com/,Bones $4/lb; ground $12.50/lb; osso buco $14/lb; chops $26-$26.50/lb
B2 Ranch,Buffalo,TX,https://www.b2ranch.com/,https://www.b2ranch.com/,https://www.b2ranch.com/shop,,joebeall.fbg@gmail.com,veal_farm,pasture_raised,"Post Oak Savannah region TX; pasture-raised veal; calves raised by mothers on grass; no confinement, antibiotics, or hormones; pink, tender, delicate flavor; chops, cutlets, ground veal; online ordering",Ground Veal,Family ranch; Buffalo TX,web,https://www.b2ranch.com/,Grassfed veal cuts; email for pricing
Sweet & Salty Farm,Little Compton,RI,https://sweetandsaltyfarm.com/,https://sweetandsaltyfarm.com/,https://sweetandsaltyfarm.com/grass-fed-veal/,,sweetandsaltyfarm@gmail.com,veal_farm,pasture_raised,Small family dairy; Jersey bull calves raised on mothers ~4 months then grazed on fresh daily-rotated pasture; rose veal; also cheese + yogurt creamery; pickup Little Compton Fri-Sun 10-2 + Providence farmers market Sat; no shipping; seasonal availability,Rose Veal,Small dairy farm; Little Compton RI,web,https://sweetandsaltyfarm.com/,Seasonal rose veal; check online store
Painted Hand Farm,Newburg,PA,https://paintedhandfarm.com/,https://paintedhandfarm.com/,https://paintedhandfarm.com/,717-423-5663,,veal_farm,pasture_raised,"20-acre Civil War-era farm; 30+ years regenerative ag; veal, goat, turkey; rotational grazing, multi-species; no chemicals/mutilation; pasture diversified with grasses, forbs, legumes, native plants; organic vegetables",Organic,30+ years regenerative; 20 acres; Newburg PA,web,https://paintedhandfarm.com/,Contact farm for current veal pricing
Strauss Brands (Strauss Veal),Franklin,WI,https://straussbrands.com/,https://straussbrands.com/,https://straussbrands.com/,800-562-7775,info@straussveal.com,veal_processor,both,"Founded 1937; family-owned (Randy + Tim Strauss); Free Raised Veal program: calves stay with mother 18-22 wks, 400-500 lbs, Limousin-influenced; all-natural, no antibiotics/hormones; also conventional milk-fed; largest US veal processor",No Antibiotics,Est. 1937; largest US veal processor,web,https://straussbrands.com/,Wholesale/foodservice; Free Raised + conventional programs
Marcho Farms,Souderton,PA,https://marchofarms.com/,https://marchofarms.com/,https://marchofarms.grazecart.com/,800-313-7131,ltufft@marchofarms.com,veal_processor,conventional,Major US veal producer; USDA-certified Marcho Farms Premium Veal program; Souderton PA; wholesale + direct sales via GrazeCart; Dr. Linda Tufft quality assurance; milk-fed + grain-fed programs,Veal processing; wholesale; food service,Major US processor; Souderton PA,web,https://marchofarms.com/,Wholesale + retail via GrazeCart
Catelli Brothers,Pennsauken,NJ,https://catellibrothers.com/,https://catellibrothers.com/,https://catellibrothers.com/veal,856-910-1016,,veal_processor,conventional,"75+ years; veal + lamb; NJ + MA processing facilities; group-housed, untethered calves; specialty steaks, grinds, marinated proteins; foodservice + retail; value-added product line",Veal processing; wholesale; food service,Est. ~1950; 75+ years; NJ + MA facilities,web,https://catellibrothers.com/,Wholesale/foodservice; value-added cuts
Atlantic Veal & Lamb (Plume De Veau),Brooklyn,NY,https://atlanticvealandlamb.com/,https://atlanticvealandlamb.com/,https://atlanticvealandlamb.com/plumebrands/,718-599-6400,,veal_processor,conventional,"Founded 1956; 3 generations; Plume De Veau brand; fully integrated: feed plants, calf barns, butcheries; 50+ independent growers across 4 states; 100% tether-free group housing; USDA facilities in NE Ohio + Brooklyn NY; Ohio State University welfare certification; M-F 6am-4:30pm",Veal processing; wholesale; food service,Est. 1956; 50+ growers; 4 states; 2 USDA plants,web,https://atlanticvealandlamb.com/,Wholesale/foodservice; Plume De Veau + Epicurean + Farm Fed brands
Midwest Veal,North Manchester,IN,,,,,,veal_processor,conventional,Country's top veal producer; North Manchester IN; president Steve Anderson; sprawling production facilities; converted to modern group housing over 7 yrs starting 2005; sister company Strauss Feeds (Watertown WI); Indiana is #1 veal-producing state,Veal processing; wholesale; food service,#1 US veal producer; North Manchester IN,web,https://www.americanveal.com/,Wholesale/foodservice
Victorian Farmstead Meat Company,Sebastopol,CA,https://new.vicfarmmeats.com/,https://new.vicfarmmeats.com/,https://new.vicfarmmeats.com/product-category/pasture-raised-beef-veal/veal/,707-332-4605,adam@vicfarmmeats.com,veal_retailer,pasture_raised,"Butcher in Community Market Sebastopol; sources from Rossotti Ranch; pasture-raised veal; rib chops $42/lb, osso buco $5, cutlet $10, tenderloin $15, porterhouse $12, top sirloin $12, ground $13, stew $14.50, bones $5/lb; local delivery $15 + nationwide shipping",Osso Buco,Sebastopol CA butcher,web,https://new.vicfarmmeats.com/,Bones $5/lb; ground $13; chops $42/lb; osso buco $5; tenderloin $15
Grow & Behold (Kosher Pastured Meats),Brooklyn,NY,https://www.growandbehold.com/,https://www.growandbehold.com/,https://www.growandbehold.com/rose-veal/,888-790-5781,info@growandbehold.com,veal_retailer,pasture_raised,"Kosher pastured rose veal; pasture-fed, never penned; no hormones/antibiotics; veal bones $12.99/lb, marrow bones $18.49/lb; rib chops, ground, scaloppini, stew, osso buco, short ribs; multiple kosher certifications (Star-K, OU, Beit Yosef); ships nationwide frozen; NY/NJ local delivery",Rose Veal; No Hormones; Osso Buco; Veal Bones; Marrow Bones; Kosher,US family farms; Brooklyn NY HQ,web,https://www.growandbehold.com/,"Bones $12.99/lb; marrow $18.49/lb; chops, ground, osso buco"
