name,city,state,phone,email,url,website,buy_link,type,notes,source,source_url,prices,products
Pozzi Ranch & Wool Company,Valley Ford,CA,707-486-0094,pozziwool@pozziwool.com,https://www.pozziwool.com/,https://www.pozziwool.com/,https://www.pozziwool.com/,wool_buyer,ASI wool buyer; California,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Roswell Wool Brokers,Bakersfield,CA,661-363-3260,,https://www.roswellwool.com/,https://www.roswellwool.com/,https://www.roswellwool.com/,wool_buyer,"ASI; CA, NM, SD offices",ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Groenewold Fur & Wool Co,Foreston,IL,815-938-2381,,https://www.gfwco.com/,https://www.gfwco.com/,https://www.gfwco.com/,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
"Bartlettyarns, Inc",Harmony,ME,207-483-2251,,https://www.bartlettyarns.com/,https://www.bartlettyarns.com/,https://www.bartlettyarns.com/,wool_buyer,"ASI; also mill; Maine, NH, VT, MA, CT, RI, MD, NY",ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Ramblers Way Farm – Wool Supply,Kennebunk,ME,207-467-8118,,https://www.ramblersway.com/,https://www.ramblersway.com/,https://www.ramblersway.com/,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
R.H. Lindsay Company,Boston,MA,617-571-4473,,https://www.rhlindsaywool.com/,https://www.rhlindsaywool.com/,https://www.rhlindsaywool.com/,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Michell International,Boston,MA,781-582-0254,,https://www.michell.com.au/,https://www.michell.com.au/,https://www.michell.com.au/,wool_buyer,ASI; global wool,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Center of the Nation Wool,Billings,MT,406-245-9112,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Tri-State Wool Marketing,Alzada,MT,406-828-4523,,https://tristatewool.wordpress.com/,https://tristatewool.wordpress.com/,https://tristatewool.wordpress.com/,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
International Textile Group (Burlington),Greensboro,NC,336-379-2096,,,,,wool_buyer,ASI; Cone Denim parent,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Bowman Wool,Bowman,ND,406-581-7772,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Columbia Wool Scouring Mill (Pendleton),Portland,OR,503-289-3642,,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,wool_buyer,ASI; Pendleton; scouring + mill,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Bollman Industries,Adamstown,PA,717-484-4361,,https://www.bollmanhats.com/,https://www.bollmanhats.com/,https://www.bollmanhats.com/,wool_buyer,ASI; hats,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
"TradeWell International, Inc",North Kingstown,RI,401-667-0500,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Chargeurs Wool (USA) Inc,Jamestown,SC,843-257-4569,,https://chargeurswoolusa.com/,https://chargeurswoolusa.com/,https://chargeurswoolusa.com/,wool_buyer,ASI; global wool processor,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Textile Fibers International,Lake City,SC,843-394-7718,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Center of the Nation Wool,Belle Fourche,SD,605-892-6311,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
"Anodyne, Inc",San Angelo,TX,325-653-3061,,https://www.anodynewool.com/,https://www.anodynewool.com/,https://www.anodynewool.com/,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Blackwell Enterprises,Goldthwaite,TX,325-648-3103,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Entrenos Inc,San Angelo,TX,325-651-2665,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Keese International LLC,Brady,TX,325-456-8662,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Wool Partners Inc,Sonora,TX,325-413-1200,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Utah Wool Marketing Association,Tooele,UT,435-843-4284,,https://utahwool.net/,https://utahwool.net/,https://utahwool.net/,wool_buyer,ASI; wool pool/marketing,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Cestari Sheep & Wool Co,Churchville,VA,540-337-7282,,https://www.cestarisheep.com/,https://www.cestarisheep.com/,https://www.cestarisheep.com/,wool_buyer,ASI; sheep + wool,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
Great Plains Wool Company,Big Horn,WY,307-674-4504,,,,,wool_buyer,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Wool; raw fleece; wool brokerage
American Woolen Company,Stafford Springs,CT,,,https://americanwoolen.com/,https://americanwoolen.com/,https://americanwoolen.com/,wool_fabric,Fine worsted and woolen fabrics; rebuilding New England textile,web,https://americanwoolen.com/,Contact for quote,Wool fabric; worsted; woolen
Mill Wool Company,Uxbridge,MA,,,https://millwool.com/,https://millwool.com/,https://millwool.com/,wool_mill,100+ yr; worsted spinning; USA wools; B2B wholesaler,web,https://millwool.com/,Contact for quote,Wool yarn; roving; batting; scoured wool
Crescent Woolen Mills,Two Rivers,WI,,,https://www.crescentwoolenmills.com/,https://www.crescentwoolenmills.com/,https://www.crescentwoolenmills.com/,wool_mill,"Since 1923; wool, alpaca, blends; carding, spinning",web,https://www.crescentwoolenmills.com/,Contact for quote,Wool yarn; roving; batting; scoured wool
Kentwool Manufacturing,Pickens,SC,,,https://kentwoolyarn.com/,https://kentwoolyarn.com/,https://kentwoolyarn.com/,wool_mill,Since 1843; worsted Merino; Responsible Wool Standard; socks,web,https://kentwoolyarn.com/,Contact for quote,Wool yarn; roving; batting; scoured wool
