name,city,state,url,website,buy_link,phone,email,type,notes,products,production,source,source_url,prices
Imperial Stock Ranch / Shaniko Wool Company,Shaniko,OR,https://www.shanikowoolcompany.com/,https://www.shanikowoolcompany.com/,https://www.shanikowoolcompany.com/,541-395-2507,jeanne@shanikowoolcompany.com,wool_grower,"30,000+ acres; Merino/Rambouillet; first RWS + NATIVA dual-certified ranch worldwide; supplied Ralph Lauren for 2014 Olympics Team USA; est. 1871; Jeanne Carver",Merino; Rws,"30,000+ acres; Est. 1871",web,https://www.shanikowoolcompany.com/,Certified wool; contact for wholesale
Helle Rambouillet Ranch (Duckworth),Dillon,MT,https://www.duckworthco.com/pages/sheep-to-shelf,https://www.duckworthco.com/,https://www.duckworthco.com/,,,wool_grower,4th-gen Montana Merino Rambouillet ranch; sole source for Duckworth apparel; sheep-to-shelf vertically integrated; Beaverhead Valley MT,Apparel; Merino,4th generation ranch; sole Duckworth source,web,https://www.duckworthco.com/,Contact for quote
Montana Wool Company,Billings,MT,https://www.mtwool.com/,https://www.mtwool.com/,https://www.mtwool.com/shop/,,info@mtwool.com,wool_grower,"Brent & Tracie Roeder; 100% virgin Targhee wool blankets; Targhee breed developed by USDA in Idaho; Montana-grown, USA-made; est. 2017; free shipping",Blankets,Family ranch; Est. 2017,web,https://www.mtwool.com/,Baby blankets $130-$140; full blankets $350
Pozzi Ranch & Wool Company,Valley Ford,CA,https://www.pozziwool.com/,https://www.pozziwool.com/,https://www.pozziwool.com/,707-486-0094,pozziwool@pozziwool.com,wool_buyer,ASI wool buyer; Sonoma County CA; heritage breeds; raw fleece + roving; family ranch,wool buyer; Sonoma County CA; heritage breeds; raw fleece + roving; family ranch,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Cestari Sheep & Wool Co,Churchville,VA,https://www.cestarisheep.com/,https://www.cestarisheep.com/,https://www.cestarisheep.com/,540-337-7282,,wool_buyer,"ASI; sheep ranch + wool buyer; Virginia Shenandoah Valley; raw wool, roving, yarn",Yarn; Roving; Raw Wool,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Utah Wool Marketing Association,Tooele,UT,https://utahwool.net/,https://utahwool.net/,https://utahwool.net/,435-843-4284,,wool_buyer,ASI; wool pool/marketing cooperative for UT growers,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Tri-State Wool Marketing,Alzada,MT,https://tristatewool.wordpress.com/,https://tristatewool.wordpress.com/,https://tristatewool.wordpress.com/,406-828-4523,,wool_buyer,ASI; MT/WY/SD pooled marketing; cooperative buying,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Center of the Nation Wool,Belle Fourche,SD,,,,605-892-6311,,wool_buyer,ASI; SD/MT wool buying + warehousing,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
California Wool Growers Association,Sacramento,CA,https://californiawoolgrowers.org/,https://californiawoolgrowers.org/,https://californiawoolgrowers.org/industry-contacts/member-directory/,,,wool_pool,"CA grower association; member directory; marketing, advocacy",Wool; pooled marketing,,web,https://californiawoolgrowers.org/,Contact for quote
Roswell Wool Brokers,Bakersfield,CA,https://www.roswellwool.com/,https://www.roswellwool.com/,https://www.roswellwool.com/,661-363-3260,,wool_buyer,"ASI; largest independent wool broker in USA; offices in CA, NM, SD; buying, warehousing, marketing wool + mohair",Mohair,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Groenewold Fur & Wool Co,Foreston,IL,https://www.gfwco.com/,https://www.gfwco.com/,https://www.gfwco.com/,815-938-2381,,wool_buyer,ASI; buying raw wool + pelts; Midwest buyer,Raw Wool,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Bartlettyarns, Inc",Harmony,ME,https://bartlettyarns.com/,https://bartlettyarns.com/,https://bartlettyarns.com/,207-683-2251,,wool_buyer,ASI; also mill; since 1821; America's oldest yarn manufacturer; mule spun woolen yarns; domestic east coast wools; 4oz skeins,Yarn; Woolen,Est. 1821,ASI,https://www.sheepusa.org/contacts/wool-pelt,"4oz skeins ~$16; yarns, roving, fiber"
